Property ID,Property Name,Location,Property Type,Amenities,Historical Occupancy Rate (%)
501,Padilla-Simmons,"572 Frank Mount
Jeffreyfurt, OR 68929",Apartment,"PM, pay, manager",83
502,"Blanchard, Newman and Hayes","2568 Marisa Viaduct
Lake Reneetown, WI 33497",Condo,side,81
503,Arellano LLC,"69372 Cole Falls
Alexandertown, LA 86175",Apartment,"glass, condition, even",89
504,"Howell, Wood and Clarke","Unit 3782 Box 1648
DPO AP 36371",Apartment,"check, especially, along, speech, stand",93
505,Robinson-Roach,"02819 Brown River
Reynoldston, AS 58028",Apartment,"free, imagine, important",87
506,Wells LLC,"3345 Roy Loaf
Port Sheila, SD 76388",Apartment,memory,84
507,Hensley-Pope,"PSC 3493, Box 6314
APO AA 48557",Condo,"rate, rise, drop, happen, contain",84
508,Powell Ltd,"1491 Douglas Streets Apt. 164
Weaverfurt, AR 09355",Single-family Home,"financial, cost, ten, cost",91
509,"Jenkins, Hughes and Jordan","84441 Sandra Via Apt. 946
Bakerside, MT 80905",Single-family Home,"cell, itself, others, born",92
510,Jackson-Barker,"80150 Kimberly Street Apt. 781
South Bryan, OK 69384",Condo,sing,95
511,"Joyce, Edwards and Rogers","771 Davis Ridges
Fullerfurt, OH 26969",Condo,"expect, human, house, box, very",93
512,"Graham, Reynolds and Edwards","34040 Powers Wall Apt. 176
Port Beth, OK 41098",Apartment,"piece, lead, debate, very, spring",87
513,Gilbert-Ritter,"5598 Nicole Cove
Adkinsshire, MD 36539",Condo,"choice, issue, your, south, enjoy",83
514,Marquez-Johnson,"16906 Malik Causeway
Andersonshire, WA 05744",Condo,street,97
515,Ward-Williams,"353 Michael Extensions Apt. 545
Susanchester, FM 36729",Apartment,offer,91
516,Barry-Reyes,"48042 Reese Villages Suite 222
Charlesmouth, AR 34031",Apartment,"single, number, officer, American",95
517,Wilson-Cochran,"920 Kelly Hills Suite 689
Lake Charles, MT 29932",Condo,them,90
518,Williams-Alexander,"79161 Mcdonald Fort Suite 379
Deniseport, NE 83152",Condo,Mr,94
519,"Johnson, Greer and Alvarez","053 Chavez Bypass
North Douglasburgh, ND 08118",Condo,"official, effort, event, station, minute",94
520,"Gutierrez, Cuevas and Morrison","6794 Cohen Spurs
Ronaldtown, TX 41043",Condo,"commercial, wait, sort, many, television",97
