Feedback ID,Tenant ID,Survey Response,Comments
3778,9611,Very Dissatisfied,I'm very dissatisfied. There are numerous issues with the property.
3696,9946,Satisfied,I'm satisfied with the service. It's been a good experience.
3054,4904,Very Satisfied,I'm extremely satisfied with my experience here. Everything is perfect!
3156,1694,Very Satisfied,I'm extremely satisfied with my experience here. Everything is perfect!
3238,2522,Neutral,My experience has been neutral. Nothing outstanding to mention.
3342,7610,Dissatisfied,I'm dissatisfied with maintenance response times. Needs improvement.
3797,3242,Satisfied,I'm satisfied with the service. It's been a good experience.
3391,2460,Neutral,My experience has been neutral. Nothing outstanding to mention.
3082,2697,Very Dissatisfied,I'm very dissatisfied. There are numerous issues with the property.
3096,4105,Neutral,My experience has been neutral. Nothing outstanding to mention.
3074,1946,Very Satisfied,I'm extremely satisfied with my experience here. Everything is perfect!
3952,7157,Very Satisfied,I'm extremely satisfied with my experience here. Everything is perfect!
3056,1762,Satisfied,I'm satisfied with the service. It's been a good experience.
3963,1052,Dissatisfied,I'm dissatisfied with maintenance response times. Needs improvement.
3249,9564,Very Dissatisfied,I'm very dissatisfied. There are numerous issues with the property.
3199,9154,Very Satisfied,I'm extremely satisfied with my experience here. Everything is perfect!
3474,8446,Very Satisfied,I'm extremely satisfied with my experience here. Everything is perfect!
3395,7449,Satisfied,I'm satisfied with the service. It's been a good experience.
3593,8910,Very Satisfied,I'm extremely satisfied with my experience here. Everything is perfect!
3431,8711,Very Satisfied,I'm extremely satisfied with my experience here. Everything is perfect!
3130,9636,Dissatisfied,I'm dissatisfied with maintenance response times. Needs improvement.
3894,9760,Very Dissatisfied,I'm very dissatisfied. There are numerous issues with the property.
3892,8588,Neutral,My experience has been neutral. Nothing outstanding to mention.
3214,5514,Dissatisfied,I'm dissatisfied with maintenance response times. Needs improvement.
3112,5520,Very Dissatisfied,I'm very dissatisfied. There are numerous issues with the property.
3089,6236,Satisfied,I'm satisfied with the service. It's been a good experience.
3171,8228,Very Satisfied,I'm extremely satisfied with my experience here. Everything is perfect!
3059,9255,Neutral,My experience has been neutral. Nothing outstanding to mention.
3167,6343,Very Dissatisfied,I'm very dissatisfied. There are numerous issues with the property.
3675,1316,Satisfied,I'm satisfied with the service. It's been a good experience.
3728,3416,Neutral,My experience has been neutral. Nothing outstanding to mention.
3013,9050,Satisfied,I'm satisfied with the service. It's been a good experience.
3495,8409,Very Dissatisfied,I'm very dissatisfied. There are numerous issues with the property.
3595,8201,Neutral,My experience has been neutral. Nothing outstanding to mention.
3118,6452,Satisfied,I'm satisfied with the service. It's been a good experience.
3180,6549,Dissatisfied,I'm dissatisfied with maintenance response times. Needs improvement.
3331,2265,Satisfied,I'm satisfied with the service. It's been a good experience.
3208,5213,Neutral,My experience has been neutral. Nothing outstanding to mention.
3076,9673,Very Satisfied,I'm extremely satisfied with my experience here. Everything is perfect!
3980,1175,Very Dissatisfied,I'm very dissatisfied. There are numerous issues with the property.
3917,7694,Very Satisfied,I'm extremely satisfied with my experience here. Everything is perfect!
3160,6991,Very Dissatisfied,I'm very dissatisfied. There are numerous issues with the property.
3662,2684,Neutral,My experience has been neutral. Nothing outstanding to mention.
3508,5312,Neutral,My experience has been neutral. Nothing outstanding to mention.
3475,3054,Very Dissatisfied,I'm very dissatisfied. There are numerous issues with the property.
3817,7446,Satisfied,I'm satisfied with the service. It's been a good experience.
3572,7919,Dissatisfied,I'm dissatisfied with maintenance response times. Needs improvement.
3992,9734,Very Satisfied,I'm extremely satisfied with my experience here. Everything is perfect!
3722,6159,Very Dissatisfied,I'm very dissatisfied. There are numerous issues with the property.
3359,3772,Satisfied,I'm satisfied with the service. It's been a good experience.
3134,2002,Satisfied,I'm satisfied with the service. It's been a good experience.
3825,4804,Neutral,My experience has been neutral. Nothing outstanding to mention.
3035,2809,Satisfied,I'm satisfied with the service. It's been a good experience.
3708,3253,Satisfied,I'm satisfied with the service. It's been a good experience.
3793,8521,Dissatisfied,I'm dissatisfied with maintenance response times. Needs improvement.
3364,3796,Neutral,My experience has been neutral. Nothing outstanding to mention.
3743,9548,Neutral,My experience has been neutral. Nothing outstanding to mention.
3453,8181,Neutral,My experience has been neutral. Nothing outstanding to mention.
3187,2348,Dissatisfied,I'm dissatisfied with maintenance response times. Needs improvement.
3000,3866,Very Dissatisfied,I'm very dissatisfied. There are numerous issues with the property.
3165,3722,Satisfied,I'm satisfied with the service. It's been a good experience.
